product_id,name,category,brand,price_inr,budget_tier,aesthetic,occasion,body_type_fit,color_palette,material,season,description,pairs_with
P001,Linen Wide-Leg Trouser,Bottoms,COS,4200,Mid,Corporate Minimalism,Office,Hourglass|Rectangle,Earthy Neutrals,Linen,SS|Year-round,Relaxed wide-leg trouser in breathable linen with a high waist and tailored pleat,P012|P018|P031
P002,Oversized Blazer,Outerwear,Arket,7800,Mid,Old Money,Office|Date Night,Rectangle|Inverted Triangle,Classic Neutrals,Wool Blend,AW|SS,Longline oversized blazer with notched lapels and a single button closure,P001|P011|P015|P030
P003,Cargo Jogger,Bottoms,Zara,2200,Budget,Streetwear,Casual,Rectangle|Athletic,Urban Brights,Cotton Jersey,Year-round,Relaxed cargo jogger with side pockets and elasticated waist,P006|P007|P038
P004,Broderie Anglaise Sundress,Dresses,Mango,3500,Budget,Cottagecore,Weekend Brunch|Casual,Hourglass|Pear,Soft Whites,Cotton,SS,Tiered broderie anglaise midi dress with adjustable straps and smocked bodice,P020|P033
P005,Ribbed Polo Shirt,Tops,Uniqlo,1800,Budget,Quiet Luxury,Casual|Office,All,Classic Neutrals,Cotton Rib,Year-round,Fine ribbed polo in Pima cotton with a subtle tipped collar — the understated staple,P001|P011|P013
P006,Track Jacket,Outerwear,New Balance,5500,Mid,Athleisure,Active|Casual,Athletic|Rectangle,Sport Monochromes,Recycled Polyester,Year-round,Zip-through track jacket with raglan sleeves and contrast taping,P039|P040
P007,Chunky Sole Sneaker,Footwear,New Balance,8500,Mid,Streetwear|Athleisure,Casual|Active,All,Sport Monochromes,Leather|Rubber,Year-round,Retro-inspired chunky sneaker with a sculpted foam sole and suede overlays,P003|P006|P038
P008,Pointed-Toe Kitten Mule,Footwear,Massimo Dutti,9200,Premium,Old Money|Quiet Luxury,Office|Date Night,All,Warm Nudes,Leather,SS|AW,Slip-on kitten mule with a square pointed toe and a slim 4 cm block heel,P001|P002|P012|P015
P009,Espadrille Wedge,Footwear,Mango,2800,Budget,Cottagecore|Coastal Grandma,Weekend Brunch|Casual,All,Warm Nudes|Earthy Neutrals,Jute|Canvas,SS,Plaited jute wedge espadrille with canvas upper and ankle tie,P004|P016|P017
P010,Leather Loafer,Footwear,COS,6200,Mid,Old Money|Corporate Minimalism,Office|Casual,All,Classic Neutrals,Leather,Year-round,Penny loafer in full-grain leather with a lightly padded footbed and rubber sole,P001|P002|P005|P011
P011,Straight-Leg Jean,Bottoms,Levi's,4500,Mid,Old Money|Streetwear,Casual|Office,Hourglass|Rectangle,Classic Neutrals,Denim,Year-round,High-rise straight-leg jean in rigid mid-blue denim with a clean hem,P002|P005|P010|P018
P012,Silk Slip Cami,Tops,COS,3800,Mid,Quiet Luxury,Date Night|Casual,Hourglass|Pear,Soft Whites|Classic Neutrals,Silk,SS|AW,Bias-cut slip cami in washed silk with adjustable spaghetti straps and a deep V,P001|P002|P015|P019
P013,Crew Neck Cashmere Knit,Tops,Arket,12500,Premium,Quiet Luxury|Old Money,Casual|Office,All,Classic Neutrals|Earthy Neutrals,Cashmere,AW,Fine-gauge crew neck in 100% Mongolian cashmere — no logos, no fuss,P001|P011|P010|P014
P014,Tailored Wool Trouser,Bottoms,Massimo Dutti,8900,Premium,Corporate Minimalism|Old Money,Office|Formal,Hourglass|Rectangle,Classic Neutrals,Wool,AW,Pleated wide-leg trouser in pressed wool with a concealed hook-and-eye waist,P013|P018|P019|P002
